model,quality_metric,pearson_r,pearson_p,spearman_r,spearman_p,n_samples
phi4-mini__3.8b,technical_accuracy,0.1664,0.0,0.0923,0.0072,845
phi4-mini__3.8b,conceptual_understanding,0.1954,0.0,0.1137,0.0009,845
phi4-mini__3.8b,completeness,0.1709,0.0,0.1213,0.0004,845
phi4-mini__3.8b,clarity_organization,-0.0547,0.112,-0.1196,0.0005,845
phi4-mini__3.8b,professional_relevance,0.208,0.0,0.1329,0.0001,845
phi4__14b,total_score,0.1239,0.0003,0.0706,0.0405,842
phi4__14b,technical_accuracy,0.135,0.0001,0.1165,0.0007,842
phi4__14b,conceptual_understanding,0.1191,0.0005,0.093,0.0069,842
phi4__14b,completeness,0.1073,0.0018,0.0901,0.0089,842
phi4__14b,clarity_organization,0.045,0.1918,0.0081,0.815,842
phi4__14b,professional_relevance,0.148,0.0,0.1238,0.0003,842
